LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
60.00	-980.00	380.00	0.30	-0.73	0.73	150.00	-910.00	190.00	-0.85	0.24	-0.06	-70.00	-1000.00	-150.00	-0.18	1.04	-0.37	190.00	-1000.00	140.00	-0.85	-0.12	0.18
70.00	-980.00	380.00	0.18	-0.73	0.73	150.00	-900.00	190.00	-0.85	0.24	-0.06	-70.00	-1000.00	-150.00	0.06	0.91	-0.12	190.00	-1000.00	140.00	-0.85	-0.12	0.18
70.00	-980.00	380.00	0.18	-0.73	0.73	150.00	-900.00	190.00	-0.85	0.24	-0.06	-70.00	-1010.00	-140.00	0.12	0.91	0.12	190.00	-1000.00	140.00	-0.73	-0.18	0.06
70.00	-980.00	380.00	0.00	-0.67	0.79	150.00	-900.00	190.00	-0.85	0.24	-0.06	-70.00	-1010.00	-140.00	0.06	1.28	0.06	190.00	-1000.00	130.00	-0.91	-0.18	0.12
60.00	-990.00	380.00	0.18	-0.73	0.73	150.00	-900.00	180.00	-0.98	0.37	0.12	-70.00	-1010.00	-140.00	0.06	1.40	0.12	190.00	-990.00	130.00	-1.04	-0.24	0.06
60.00	-990.00	380.00	0.18	-0.73	0.73	150.00	-900.00	180.00	-0.98	0.49	0.12	-60.00	-1010.00	-140.00	0.12	1.40	0.12	190.00	-990.00	130.00	-0.98	-0.18	0.00
70.00	-990.00	380.00	0.06	-0.79	0.73	150.00	-900.00	180.00	-0.98	0.49	0.12	-60.00	-1010.00	-150.00	0.00	1.34	0.12	190.00	-990.00	130.00	-0.98	-0.18	0.00
60.00	-980.00	380.00	0.24	-0.85	0.79	150.00	-900.00	180.00	-0.91	0.24	0.12	-70.00	-1010.00	-140.00	-0.12	1.16	0.18	190.00	-990.00	130.00	-0.98	-0.18	0.00
60.00	-980.00	380.00	0.24	-0.85	0.79	150.00	-900.00	190.00	-0.79	0.30	0.18	-70.00	-1010.00	-140.00	0.00	1.28	0.30	190.00	-990.00	140.00	-0.98	-0.18	0.00
60.00	-980.00	380.00	0.30	-0.79	0.98	150.00	-900.00	190.00	-0.73	0.18	0.30	-70.00	-1010.00	-140.00	0.06	1.28	0.18	190.00	-1000.00	130.00	-1.34	0.18	0.61
