LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
50.00	-1020.00	280.00	1.89	-2.50	0.79	280.00	-720.00	-480.00	0.85	-0.98	-1.04	-170.00	-1030.00	-10.00	0.73	-0.67	1.46	50.00	-910.00	490.00	1.34	-0.55	0.85
50.00	-1020.00	280.00	1.89	-2.50	0.79	280.00	-720.00	-480.00	0.85	-0.98	-1.04	-180.00	-1030.00	-10.00	0.79	-0.79	1.52	50.00	-910.00	490.00	1.10	-0.49	0.73
50.00	-1020.00	280.00	1.77	-2.50	0.91	280.00	-720.00	-480.00	0.85	-0.98	-1.04	-180.00	-1030.00	-10.00	0.91	-0.85	1.52	50.00	-920.00	480.00	0.98	-0.12	0.67
50.00	-1020.00	280.00	1.77	-2.44	0.79	280.00	-710.00	-480.00	0.85	-0.91	-0.98	-170.00	-1030.00	-10.00	0.91	-0.85	1.52	50.00	-920.00	480.00	0.98	-0.12	0.67
50.00	-1020.00	280.00	1.77	-2.44	0.79	280.00	-710.00	-480.00	0.91	-0.91	-0.91	-170.00	-1030.00	-10.00	0.85	-0.91	1.46	60.00	-910.00	480.00	0.85	0.00	0.67
50.00	-1020.00	280.00	1.59	-2.32	0.55	280.00	-710.00	-480.00	0.91	-0.91	-0.91	-180.00	-1020.00	-10.00	0.79	-0.98	1.52	50.00	-910.00	490.00	0.67	0.18	0.61
50.00	-1020.00	280.00	1.59	-2.32	0.55	280.00	-720.00	-480.00	0.79	-0.73	-0.98	-180.00	-1030.00	-10.00	0.79	-0.98	1.52	60.00	-910.00	490.00	0.67	0.18	0.61
50.00	-1020.00	280.00	1.52	-2.13	0.55	280.00	-720.00	-480.00	0.55	-0.61	-0.85	-180.00	-1030.00	-10.00	0.91	-0.98	1.46	60.00	-910.00	490.00	0.67	0.55	0.73
50.00	-1020.00	280.00	1.52	-2.13	0.55	280.00	-720.00	-480.00	0.55	-0.61	-0.85	-180.00	-1030.00	-10.00	0.98	-1.04	1.52	60.00	-920.00	490.00	0.67	0.55	0.73
50.00	-1020.00	280.00	1.40	-2.26	0.43	280.00	-720.00	-480.00	0.55	-0.61	-0.85	-180.00	-1030.00	-10.00	0.91	-1.04	1.34	50.00	-910.00	490.00	0.85	0.79	0.91
50.00	-1020.00	280.00	1.40	-2.26	0.43	280.00	-720.00	-480.00	0.61	-0.49	-0.91	-180.00	-1030.00	-10.00	0.91	-1.04	1.34	50.00	-910.00	490.00	0.85	0.79	0.91
50.00	-1020.00	280.00	1.40	-2.32	0.24	280.00	-720.00	-480.00	0.49	-0.55	-0.61	-180.00	-1030.00	-0.00	0.85	-0.79	1.28	60.00	-910.00	500.00	0.73	0.73	0.85
50.00	-1020.00	280.00	1.52	-2.56	0.18	280.00	-720.00	-480.00	0.49	-0.55	-0.61	-180.00	-1030.00	-0.00	0.73	-0.79	1.16	50.00	-920.00	500.00	0.55	0.85	0.85
50.00	-1020.00	290.00	1.52	-2.56	0.18	280.00	-720.00	-480.00	0.49	-0.55	-0.61	-180.00	-1030.00	-0.00	0.67	-0.73	0.91	70.00	-910.00	500.00	0.55	0.85	0.85
50.00	-1020.00	290.00	1.52	-2.56	0.18	280.00	-720.00	-480.00	0.30	-0.43	-0.55	-180.00	-1030.00	-0.00	0.79	-0.73	0.85	50.00	-930.00	490.00	0.12	1.04	0.79
