LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz	y	mass
968.447619	-74.692667	-283.809524	19.244190	4.617524	40.790952	979.128571	-64.658095	-302.580952	-8.110619	-4.637000	-43.570000	1390.809524	238.000000	-150.061905	63.937619	-15.587619	266.009524	1320.285714	-415.185714	-417.338095	-25.823095	35.625238	-273.352381	0.015710	88.700000
967.657143	-53.958667	-280.190476	22.743429	3.452381	38.457619	973.200000	-47.793333	-298.252381	-4.085905	-3.838571	-44.266667	1426.142857	275.233333	-158.071429	71.910952	-17.790381	264.880952	1316.523810	-395.985714	-398.785714	-16.012000	37.318571	-274.342857	0.015901	88.700000
966.757143	-29.639952	-293.909524	24.769048	3.802095	37.438571	969.433333	-37.105714	-287.842857	-2.963714	-3.027143	-44.043333	1451.476190	332.376190	-165.223810	76.979048	-17.728857	262.395238	1310.285714	-367.219048	-365.566667	-9.726619	36.964286	-273.385714	0.016178	88.700000
963.257143	-3.282190	-306.714286	25.232857	4.126524	37.381429	976.790476	-34.905238	-262.966667	-3.466048	-2.719381	-43.560000	1457.666667	415.461905	-165.614286	76.178095	-15.626381	258.895238	1297.142857	-343.447619	-322.952381	-8.771238	34.420476	-269.923810	0.016400	88.700000
964.152381	6.640619	-314.452381	24.353333	3.722762	38.397619	989.747619	-43.518095	-245.576190	-4.997381	-2.576810	-43.288095	1445.904762	491.671429	-162.466667	69.905238	-11.915333	254.428571	1291.047619	-330.604762	-280.314286	-13.479190	29.574762	-262.980952	0.016595	88.700000
970.576190	5.759143	-317.728571	23.289048	3.360238	39.305714	996.128571	-51.417619	-241.680952	-6.244238	-2.277571	-43.780952	1421.571429	531.228571	-156.838095	58.906667	-7.423095	249.047619	1294.238095	-334.661905	-256.247619	-22.943333	23.389524	-253.319048	0.016865	88.700000
973.923810	11.028829	-314.976190	22.908095	2.252095	39.982857	1002.995238	-61.608095	-232.476190	-6.720143	-2.831333	-44.740952	1385.142857	535.152381	-155.658095	46.111429	-4.030362	242.328571	1295.952381	-355.814286	-260.000000	-33.310857	18.152190	-242.238095	0.017131	88.700000
978.495238	11.974638	-315.276190	22.035714	0.744857	41.380476	1002.442857	-64.783333	-225.900000	-7.308571	-3.422714	-46.402381	1360.666667	534.895238	-139.156190	34.317355	-2.160171	234.385714	1299.142857	-372.957143	-282.152381	-42.594762	14.138429	-230.680952	0.017431	88.700000
981.328571	8.733276	-313.538095	21.840952	-0.008952	43.192381	996.123810	-58.586667	-230.819048	-8.419429	-3.833619	-47.872381	1330.238095	561.690476	-114.762381	23.079348	-0.607629	224.357143	1277.095238	-400.061905	-314.985714	-51.668095	11.911381	-217.933333	0.017358	88.700000
976.576190	0.530790	-304.619048	21.897143	-1.703429	45.160476	994.714286	-57.739714	-235.947619	-9.188524	-3.833571	-49.489048	1283.571429	606.728571	-86.161905	11.471363	0.057933	211.657143	1253.428571	-453.223810	-341.195238	-58.983333	10.046048	-202.409524	0.017318	88.700000
979.019048	-17.800152	-299.076190	21.749524	-3.459714	47.385714	980.333333	-52.180429	-256.871429	-9.795857	-3.724952	-51.810000	1238.428571	642.328571	-67.967143	1.674282	-0.313057	195.161905	1246.714286	-542.938095	-368.423810	-63.732857	8.838810	-183.428571	0.017246	88.700000
984.809524	-36.504600	-292.480952	21.655238	-4.445952	48.777619	975.728571	-37.098476	-287.952381	-10.345286	-3.263000	-54.176667	1207.047619	660.785714	-62.842857	-4.288557	-1.166886	174.408571	1232.666667	-650.538095	-404.380952	-63.550476	8.581571	-161.953333	0.017349	88.700000
986.842857	-54.258838	-294.638095	21.331429	-5.107857	49.397619	977.204762	-3.838619	-299.142857	-10.578762	-3.425381	-56.374286	1186.000000	662.661905	-70.358571	-4.991634	-2.719743	149.470952	1221.333333	-752.547619	-432.795238	-55.930476	8.665333	-138.441429	0.017517	88.700000
987.600000	-70.241905	-298.980952	20.840000	-5.332238	50.126190	986.671429	29.017238	-293.000000	-11.180952	-3.225286	-57.277143	1173.142857	673.295238	-76.884762	-1.216425	-4.226429	121.824286	1205.333333	-817.947619	-442.095238	-42.763905	9.164571	-114.033333	0.017359	88.700000
988.109524	-81.141429	-305.685714	20.819048	-5.277952	50.895714	990.142857	51.824810	-282.338095	-11.558095	-3.320000	-56.655238	1146.885714	701.985714	-83.392381	4.292066	-5.142571	92.388476	1160.714286	-850.290476	-434.914286	-27.455810	9.651095	-88.594286	0.017334	88.700000
986.123810	-92.085238	-312.152381	21.451429	-5.423810	51.857619	997.514286	50.688190	-265.414286	-12.054762	-3.516524	-56.019524	1101.714286	726.585714	-91.563810	9.171890	-5.796000	62.590381	1127.295238	-856.576190	-401.552381	-11.573524	8.967429	-62.191429	0.017340	88.700000
993.204762	-99.478571	-316.600000	22.600952	-5.315571	53.378571	1000.119048	37.251476	-260.590476	-12.308476	-4.213095	-56.598571	1043.038095	746.095238	-109.145714	13.144883	-6.853619	33.546952	1090.866667	-852.742857	-353.876190	2.171048	8.829190	-35.832381	0.017413	88.700000
1010.885714	-93.185714	-317.585714	24.296190	-5.332524	55.017619	1012.314286	8.837238	-268.280952	-11.822286	-5.583095	-58.151905	982.666667	757.242857	-129.837143	15.543429	-7.927381	6.954381	1034.409524	-829.152381	-304.904762	13.016476	8.841524	-11.393810	0.017371	88.700000
1029.080952	-88.626667	-318.266667	25.991905	-5.120524	57.080000	1022.390476	1.596619	-277.361905	-11.164095	-6.889571	-61.170476	932.638095	744.252381	-151.879048	15.559524	-9.063524	-15.701619	994.623810	-791.942857	-244.794286	20.778000	8.383333	10.467143	0.017163	88.700000
