LLACx	LLACy	LLACz	LLGYx	LLGYy	LLGYz	LMACx	LMACy	LMACz	LMGYx	LMGYy	LMGYz	RLACx	RLACy	RLACz	RLGYx	RLGYy	RLGYz	RMACx	RMACy	RMACz	RMGYx	RMGYy	RMGYz
100.00	-940.00	-340.00	-1.89	0.85	4.39	160.00	-910.00	60.00	-1.89	-1.16	2.62	10.00	-1010.00	-50.00	-0.37	-0.06	0.67	-210.00	-940.00	290.00	-0.91	0.49	0.00
100.00	-940.00	-350.00	-2.01	0.61	4.02	160.00	-910.00	60.00	-1.89	-1.89	2.99	-0.00	-1010.00	-50.00	-0.49	0.18	0.24	-210.00	-940.00	290.00	-0.91	1.04	-0.55
90.00	-940.00	-350.00	-2.38	-0.12	3.23	160.00	-910.00	60.00	-2.07	-2.32	3.35	0.00	-1010.00	-50.00	-0.49	0.37	-0.18	-200.00	-950.00	280.00	-0.91	1.04	-0.55
90.00	-940.00	-350.00	-2.99	-0.12	2.87	150.00	-910.00	60.00	-2.26	-2.13	3.35	0.00	-1020.00	-40.00	-0.49	0.30	-0.49	-210.00	-940.00	280.00	-0.91	1.04	-0.55
100.00	-930.00	-350.00	-3.05	0.24	2.80	160.00	-910.00	60.00	-2.07	-1.46	3.17	0.00	-1010.00	-50.00	-0.43	0.24	-0.67	-210.00	-950.00	270.00	-0.49	1.16	-0.49
100.00	-940.00	-350.00	-2.74	0.06	2.68	160.00	-910.00	60.00	-1.95	-0.37	2.99	0.00	-1020.00	-50.00	-0.43	0.06	-0.79	-200.00	-950.00	280.00	-0.24	2.68	-0.67
100.00	-940.00	-340.00	-2.87	0.12	2.62	160.00	-910.00	50.00	-1.95	0.24	2.80	0.00	-1020.00	-50.00	-0.49	0.55	-0.85	-200.00	-950.00	280.00	-0.24	2.68	-0.67
100.00	-950.00	-340.00	-2.87	0.24	2.74	150.00	-910.00	50.00	-1.89	0.43	2.74	10.00	-1020.00	-50.00	-1.16	0.98	-1.16	-200.00	-960.00	280.00	-0.24	2.13	-0.73
90.00	-940.00	-350.00	-2.50	0.18	2.56	160.00	-910.00	50.00	-1.77	0.55	2.62	10.00	-1020.00	-50.00	-1.04	1.04	-1.28	-190.00	-950.00	290.00	0.12	2.56	-0.67
90.00	-940.00	-350.00	-2.32	0.18	2.44	150.00	-910.00	50.00	-1.65	0.49	2.68	20.00	-1020.00	-50.00	-0.73	2.01	-0.91	-190.00	-950.00	290.00	0.12	2.56	-0.67
